Date Raw;Date Parsed;Sales Count;Volume;Volume USD;Cummulative Volume;Cummulative Volume USD
1574640000000;11/25/2019;10;3.991879947916667;559.85;346.60248552084863;78281.81499999994
1574726400000;11/26/2019;2;0.4499977141203704;65.85499999999999;347.052483234969;78347.66999999994
1574812800000;11/27/2019;7;0.5012847842592593;73.979;347.55376801922824;78421.64899999995
1574899200000;11/28/2019;12;0.20020566666666667;30.556;347.7539736858949;78452.20499999994
1574985600000;11/29/2019;8;2.1470522280092594;324.01300000000003;349.90102591390416;78776.21799999995
1575072000000;11/30/2019;1;0.1999;30.836;350.1009259139042;78807.05399999995
1575158400000;12/01/2019;0;0;0;350.1009259139042;78807.05399999995
1575244800000;12/02/2019;4;0.6901829541064226;104.234;350.7911088680106;78911.28799999994
1575331200000;12/03/2019;0;0;0;350.7911088680106;78911.28799999994
1575417600000;12/04/2019;6;0.04060666454475309;5.976000000000001;350.83171553255534;78917.26399999994
1575504000000;12/05/2019;0;0;0;350.83171553255534;78917.26399999994
1575590400000;12/06/2019;11;2.1149995042438277;312.592;352.94671503679916;79229.85599999994
1575676800000;12/07/2019;5;3.32;493.371;356.26671503679916;79723.22699999994
1575763200000;12/08/2019;1;0.15;22.072;356.41671503679913;79745.29899999994
1575849600000;12/09/2019;5;0.39268958333333337;59.01899999999999;356.80940462013245;79804.31799999994
1575936000000;12/10/2019;3;0.2393066010802469;35.28;357.0487112212127;79839.59799999994
1576022400000;12/11/2019;14;7.232236666666666;1052.788;364.2809478878794;80892.38599999994
1576108800000;12/12/2019;2;0.42;60.111999999999995;364.7009478878794;80952.49799999993
1576195200000;12/13/2019;13;13.628915462962965;1976.5459999999998;378.3298633508424;82929.04399999994
1576281600000;12/14/2019;2;0.425;61.46300000000001;378.7548633508424;82990.50699999994
1576368000000;12/15/2019;3;0.8306701388888889;117.827;379.5855334897313;83108.33399999994
1576454400000;12/16/2019;10;4.337594907407407;616.853;383.9231283971387;83725.18699999995
1576540800000;12/17/2019;1;0.15;19.908;384.0731283971387;83745.09499999994
1576627200000;12/18/2019;0;0;0;384.0731283971387;83745.09499999994
1576713600000;12/19/2019;4;0.4167318350925926;55.318;384.4898602322313;83800.41299999994
1576800000000;12/20/2019;4;0.08;10.245999999999999;384.5698602322313;83810.65899999994
1576886400000;12/21/2019;2;1.3199999999999998;169.316;385.8898602322313;83979.97499999995
1576972800000;12/22/2019;6;1.508;191.415;387.39786023223127;84171.38999999994
1577059200000;12/23/2019;4;1.637017476851852;216.37599999999998;389.0348777090831;84387.76599999995
1577145600000;12/24/2019;2;0.6010923611111111;77.042;389.6359700701942;84464.80799999995
1577232000000;12/25/2019;1;0.2929647569444444;37.419;389.9289348271387;84502.22699999994
1577318400000;12/26/2019;2;0.0052;0.65;389.9341348271387;84502.87699999993
1577404800000;12/27/2019;98;16.76783122824327;2106.2809999999995;406.70196605538194;86609.15799999994
1577491200000;12/28/2019;2;0.14650000000000002;18.506999999999998;406.84846605538195;86627.66499999994
1577577600000;12/29/2019;3;0.475;60.832;407.32346605538197;86688.49699999993
1577664000000;12/30/2019;5;1.2145709912037037;163.146;408.53803704658566;86851.64299999992
1577750400000;12/31/2019;17;14.982903912037036;1969.684;423.5209409586227;88821.32699999992
1577836800000;01/01/2020;23;2.3154999999999997;299.13;425.8364409586227;89120.45699999992
1577923200000;01/02/2020;9;3.7775000000000003;492.906;429.61394095862266;89613.36299999992
1578009600000;01/03/2020;17;0.28925;36.74300000000001;429.90319095862264;89650.10599999993
