Date Raw;Date Parsed;Axie Presale ETH;Axie Presale USD;Land Presale ETH;Land Presale USD;Marketplace Fee ETH;Marketplace Fee USD;Breeding Fee ETH;Breeding Fee USD
1568764800000;09/18/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.56395488678137;34168.73884750001;168.80000000000024;30255.596000000005
1568851200000;09/19/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.5923464118296;34174.707972500015;168.97800000000024;30292.976000000006
1568937600000;09/20/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.61934508494892;34180.69460750001;169.05200000000025;30309.367000000006
1569024000000;09/21/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.65856964091913;34189.244362500016;169.31000000000026;30365.611000000004
1569110400000;09/22/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.66911896865253;34191.51615750002;169.91000000000025;30494.911000000004
1569196800000;09/23/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.80664940767866;34220.61905250001;169.99400000000026;30512.677000000003
1569283200000;09/24/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.9483508271036;34249.10153250001;170.01600000000025;30517.099000000002
1569369600000;09/25/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;170.9771360771036;34253.95686000001;170.02800000000025;30519.121000000003
1569456000000;09/26/2019;988.4278625790153;501703.51700000005;3953.1146850799937;500079.3070000016;171.04565865027655;34265.62549250001;170.05200000000025;30523.213000000003
1569542400000;09/27/2019;988.4278625790153;501703.51700000005;3953.5646850799935;500157.5640000016;171.13114128630886;34279.83413500001;170.06600000000026;30525.537000000004
1569628800000;09/28/2019;988.4278625790153;501703.51700000005;3953.5646850799935;500157.5640000016;171.18370833154256;34288.97584250001;170.11400000000026;30533.889000000003
1569715200000;09/29/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;171.67025184180972;34373.67320000001;170.28800000000027;30564.165000000005
1569801600000;09/30/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;171.75080002632942;34387.34137000002;171.05200000000028;30693.663000000004
1569888000000;10/01/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;171.76184234563496;34389.326417500015;172.9120000000003;31028.46300000001
1569974400000;10/02/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;171.80732445848219;34397.541837500015;174.3660000000003;31290.910000000007
1570060800000;10/03/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;171.9389712274251;34421.31459500002;175.2840000000003;31456.609000000008
1570147200000;10/04/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;171.97683390690523;34428.01093750002;176.5620000000003;31682.81500000001
1570233600000;10/05/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;172.01323755010597;34434.41302750001;177.3880000000003;31828.19100000001
1570320000000;10/06/2019;988.4278625790153;501703.51700000005;3954.0146850799933;500235.9000000016;172.1104027415443;34451.54118500002;177.82600000000028;31905.49800000001
1570406400000;10/07/2019;988.4278625790153;501703.51700000005;3954.464685079993;500312.6010000016;172.23991731790562;34473.616620000015;178.35000000000028;31994.84000000001
