Date Raw;Date Parsed;Sales Count;Volume;Volume USD;Cummulative Volume;Cummulative Volume USD
1557705600000;05/13/2019;92;10.561903540258484;1977.953;3404.379637491572;652361.9349999999
1557792000000;05/14/2019;60;5.724616289609787;1122.4609999999998;3410.104253781182;653484.396
1557878400000;05/15/2019;37;1.8090426588403878;394.88699999999983;3411.9132964400223;653879.2829999999
1557964800000;05/16/2019;23;10.66531488927469;2652.945;3422.578611329297;656532.2279999999
1558051200000;05/17/2019;47;4.834890736331569;1280.7679999999998;3427.4135020656286;657812.9959999999
1558137600000;05/18/2019;96;4.78685222878587;1165.9450000000006;3432.2003542944144;658978.9409999999
1558224000000;05/19/2019;90;4.546722687018035;1069.9669999999999;3436.7470769814327;660048.9079999998
1558310400000;05/20/2019;51;1.1778028680004409;306.9339999999999;3437.924879849433;660355.8419999998
1558396800000;05/21/2019;54;10.722716619907416;2701.707000000001;3448.6475964693404;663057.5489999999
1558483200000;05/22/2019;56;4.6010125107473545;1178.24;3453.2486089800877;664235.7889999999
1558569600000;05/23/2019;69;1.356119594667659;331.6330000000001;3454.6047285747554;664567.4219999999
1558656000000;05/24/2019;87;11.052291258432536;2703.8849999999993;3465.657019833188;667271.3069999999
1558742400000;05/25/2019;70;2.4902982918044527;618.9500000000002;3468.147318124992;667890.2569999999
1558828800000;05/26/2019;43;2.3732779261491403;595.2649999999999;3470.520596051141;668485.5219999999
1558915200000;05/27/2019;51;3.9397503607253084;1048.4550000000002;3474.4603464118663;669533.9769999998
1559001600000;05/28/2019;46;1.1723803439153442;320.53499999999997;3475.6327267557817;669854.5119999999
1559088000000;05/29/2019;46;1.4255284002314812;386.6409999999998;3477.0582551560133;670241.1529999998
1559174400000;05/30/2019;49;1.9161151350924628;515.0239999999998;3478.9743702911055;670756.1769999998
1559260800000;05/31/2019;50;13.377812228463954;3416.3900000000003;3492.3521825195694;674172.5669999998
1559347200000;06/01/2019;86;10.903362380428787;2923.473999999998;3503.2555448999983;677096.0409999999
1559433600000;06/02/2019;49;13.258325792824076;3509.843;3516.5138706928224;680605.8839999998
1559520000000;06/03/2019;54;1.771782191032347;478.2700000000001;3518.2856528838547;681084.1539999999
1559606400000;06/04/2019;49;5.84147614913478;1470.613;3524.1271290329896;682554.7669999999
1559692800000;06/05/2019;55;3.026680819662012;727.133;3527.1538098526516;683281.8999999999
1559779200000;06/06/2019;41;4.31661896103395;1065.4589999999998;3531.4704288136854;684347.3589999999
1559865600000;06/07/2019;62;2.3160843528479167;578.9530000000003;3533.7865131665335;684926.3119999999
1559952000000;06/08/2019;52;1.15172876018739;288.663;3534.938241926721;685214.9749999999
1560038400000;06/09/2019;67;9.832843937417325;2405.4070000000006;3544.771085864138;687620.3819999999
1560124800000;06/10/2019;69;1.6386994778990294;380.23800000000006;3546.409785342037;688000.6199999999
1560211200000;06/11/2019;84;10.846874539847887;2681.9199999999996;3557.256659881885;690682.5399999999
1560297600000;06/12/2019;58;3.054064276124338;748.5210000000006;3560.310724158009;691431.0609999999
